name_of_the_product;main_category;sub_category;ratings;no_of_ratings;discounted_price;actual_price
The Great Gatsby;Books;Classic Literature;4.5;1200;8.99;12.99
To Kill a Mockingbird;Books;Classic Literature;4.8;1500;6.99;9.99
1984;Books;Classic Literature;4.6;1450;7.99;10.99
Pride and Prejudice;Books;Classic Literature;4.7;1300;5.99;8.99
Moby Dick;Books;Classic Literature;4.4;1100;6.99;9.99
Jane Eyre;Books;Classic Literature;4.6;1250;7.99;10.99
Wuthering Heights;Books;Classic Literature;4.5;1200;6.99;9.99
The Catcher in the Rye;Books;Classic Literature;4.3;1000;7.99;10.99
The Odyssey;Books;Classic Literature;4.7;1350;8.99;12.99
The Scarlet Letter;Books;Classic Literature;4.6;1200;7.99;10.99
The Adventures of Huckleberry Finn;Books;Classic Literature;4.5;1150;6.99;9.99
The Grapes of Wrath;Books;Classic Literature;4.7;1300;7.99;10.99
The Sun Also Rises;Books;Classic Literature;4.6;1250;8.99;12.99
The Old Man and the Sea;Books;Classic Literature;4.8;1400;6.99;9.99
The Sound and the Fury;Books;Classic Literature;4.5;1100;7.99;10.99
iPhone 14;Electronics;Smartphones;4.8;5000;799.99;999.99
Samsung Galaxy S21;Electronics;Smartphones;4.7;4000;699.99;899.99
Google Pixel 6;Electronics;Smartphones;4.6;3500;599.99;799.99
OnePlus 9;Electronics;Smartphones;4.7;3450;649.99;799.99
Xiaomi Mi 11;Electronics;Smartphones;4.6;3300;549.99;699.99
Sony Xperia 1 III;Electronics;Smartphones;4.5;3200;899.99;1099.99
Huawei P40 Pro;Electronics;Smartphones;4.7;3100;749.99;899.99
LG Velvet;Electronics;Smartphones;4.6;3000;599.99;749.99
Motorola Edge;Electronics;Smartphones;4.5;2900;549.99;699.99
Nokia 8.3;Electronics;Smartphones;4.7;2800;499.99;649.99
Oppo Find X3 Pro;Electronics;Smartphones;4.6;2700;899.99;1099.99
Realme GT;Electronics;Smartphones;4.5;2600;499.99;649.99
Vivo X60 Pro;Electronics;Smartphones;4.7;2500;699.99;849.99
Poco F3;Electronics;Smartphones;4.6;2400;349.99;449.99
